sst,u10,hsig,time,latitude,longitude
271.45996,0.009604454,,1940-01-01 12:00:00,70.0,-140.1
271.45996,6.5291204,,1940-01-02 12:00:00,70.0,-140.1
271.45996,5.675279,,1940-01-03 12:00:00,70.0,-140.1
271.45996,-10.479511,,1940-01-04 12:00:00,70.0,-140.1
271.45996,-14.644253,,1940-01-05 12:00:00,70.0,-140.1
271.45996,0.5754466,,1940-01-06 12:00:00,70.0,-140.1
271.45975,-5.954951,,1940-01-07 12:00:00,70.0,-140.1
271.45996,-8.485281,,1940-01-08 12:00:00,70.0,-140.1
271.45996,5.2305856,,1940-01-09 12:00:00,70.0,-140.1
271.45996,14.744711,,1940-01-10 12:00:00,70.0,-140.1
271.45996,13.214762,,1940-01-11 12:00:00,70.0,-140.1
271.45996,17.708853,,1940-01-12 12:00:00,70.0,-140.1
271.45975,9.834219,,1940-01-13 12:00:00,70.0,-140.1
271.46036,11.635483,,1940-01-14 12:00:00,70.0,-140.1
271.45975,-3.0735097,,1940-01-15 12:00:00,70.0,-140.1
271.46036,-7.0677743,,1940-01-16 12:00:00,70.0,-140.1
271.45975,-13.49008,,1940-01-17 12:00:00,70.0,-140.1
271.46017,6.619075,,1940-01-18 12:00:00,70.0,-140.1
271.45996,4.045219,,1940-01-19 12:00:00,70.0,-140.1
271.46017,-4.91032,,1940-01-20 12:00:00,70.0,-140.1
271.45975,-10.782743,,1940-01-21 12:00:00,70.0,-140.1
271.46036,-11.844786,,1940-01-22 12:00:00,70.0,-140.1
271.45975,-13.384167,,1940-01-23 12:00:00,70.0,-140.1
271.46017,6.4420676,,1940-01-24 12:00:00,70.0,-140.1
271.45975,9.3888,,1940-01-25 12:00:00,70.0,-140.1
271.45975,6.453675,,1940-01-26 12:00:00,70.0,-140.1
271.46036,8.960065,,1940-01-27 12:00:00,70.0,-140.1
271.46036,-3.2505164,,1940-01-28 12:00:00,70.0,-140.1
271.45996,5.4808617,,1940-01-29 12:00:00,70.0,-140.1
271.45975,-3.898333,,1940-01-30 12:00:00,70.0,-140.1
271.46017,1.8442383,,1940-01-31 12:00:00,70.0,-140.1
271.45975,-8.419266,,1940-02-01 12:00:00,70.0,-140.1
271.46036,-6.3778815,,1940-02-02 12:00:00,70.0,-140.1
271.45996,2.2715216,,1940-02-03 12:00:00,70.0,-140.1
271.46017,-5.2113767,,1940-02-04 12:00:00,70.0,-140.1
271.45953,-1.1010423,,1940-02-05 12:00:00,70.0,-140.1
271.46017,-7.394221,,1940-02-06 12:00:00,70.0,-140.1
271.4608,2.6335156,,1940-02-07 12:00:00,70.0,-140.1
271.46017,8.547291,,1940-02-08 12:00:00,70.0,-140.1
271.45975,10.212172,,1940-02-09 12:00:00,70.0,-140.1
271.45996,8.468218,,1940-02-10 12:00:00,70.0,-140.1
271.46017,3.5432153,,1940-02-11 12:00:00,70.0,-140.1
271.461,-6.64702,,1940-02-12 12:00:00,70.0,-140.1
271.45975,5.9023414,,1940-02-13 12:00:00,70.0,-140.1
271.46017,2.8750865,,1940-02-14 12:00:00,70.0,-140.1
271.46017,3.541039,,1940-02-15 12:00:00,70.0,-140.1
271.46017,8.162083,,1940-02-16 12:00:00,70.0,-140.1
271.46017,5.7572536,,1940-02-17 12:00:00,70.0,-140.1
271.4608,-4.6687484,,1940-02-18 12:00:00,70.0,-140.1
271.46036,-9.157763,,1940-02-19 12:00:00,70.0,-140.1
271.46017,-10.526665,,1940-02-20 12:00:00,70.0,-140.1
271.45996,-0.95232725,,1940-02-21 12:00:00,70.0,-140.1
271.46017,6.0082555,,1940-02-22 12:00:00,70.0,-140.1
271.46036,2.5428357,,1940-02-23 12:00:00,70.0,-140.1
271.46036,-5.520414,,1940-02-24 12:00:00,70.0,-140.1
271.46036,-2.1202831,,1940-02-25 12:00:00,70.0,-140.1
271.45975,0.8968158,,1940-02-26 12:00:00,70.0,-140.1
271.45996,-1.7793269,,1940-02-27 12:00:00,70.0,-140.1
271.46036,-10.200218,,1940-02-28 12:00:00,70.0,-140.1
271.46017,-11.89049,,1940-02-29 12:00:00,70.0,-140.1
271.46036,-2.4859042,,1940-03-01 12:00:00,70.0,-140.1
