particles,mortality
72.72,97.85
49.6,104.64
55.68,94.36
55.16,98.05
66.02,95.85
44.01,95.98
47.83,88.63
43.6,90.85
24.99,92.06
40.41,88.75
51.93,94.6
32.26,92.86
73.65,98.02
30.15,87.64
41.1,97.4
41.53,83.24
29.46,86.6
51.13,90.69
41.37,82.86
59.49,99.06
48.25,81
51.73,93.18
44.21,86.86
59.59,89.35
60.82,87.13
55.01,88.39
50.59,85.38
55.05,83.96
48,84.95
55.37,86.81
64.44,85.25
75,94.72
61.46,90.96
50.04,87.73
49.9,92.58
51.14,87.02
77.88,92.68
46.71,97.95
73.86,94.19
76.87,93.95
39.85,92.29
71.52,93.48
63.87,97.41
48.81,96.98
68.82,106.6
64.39,112.41
81.76,118.59
73.55,107.9
67.99,111.82
75.37,102.78
65.23,100.63
69.91,106.54
44.34,105.39
40.8,104.99
55.09,102.72
38.44,104.67
53.54,103.3
42.46,98.46
53.22,100.78
44.41,94.43
31.29,92.16
31.1,92.13
35.92,95.04
37.73,86.88
35,95.29
36.25,85.39
22.75,92.63
32.26,88.72
34.77,87.09
52.73,83.92
36.59,89.01
30.04,78.14
49.91,92.84
42.6,88.65
35.89,86.66
41.76,82.04
47.03,105.15
36.62,94.19
31.4,83.99
46.76,88.22
30.6,85.59
60.58,99.21
33.3,87.77
50.08,90.39
46.99,82.25
73.07,102.92
50.28,86.84
71.6,97.22
50.09,94.97
82.85,104.86
58.36,80.53
62.63,102.47
71.27,97.8
50.85,95.28
65.13,105.64
74.74,106.44
39.59,110.65
69.67,114.41
84.23,115.98
84.96,112.72
67.68,115.99
58.62,104.14
57.02,109.3
64.58,111.47
63.25,102.67
56.92,101.34
46.59,94.97
49.2,90.48
48.55,93.7
39.16,81.87
43.59,91.12
43.26,90.55
35.86,89.62
40.4,91.63
44.84,89.22
28.72,84.81
44.4,95
24.24,83.77
37.13,98.26
38.01,82.87
32.22,85.51
32.86,84.67
25.83,84.45
37.95,93.96
36.93,82.47
34.03,89.18
27.68,87.33
52.62,92.67
36.51,93.83
33.53,86.65
39.94,89.35
36.85,77.97
38.93,86.06
24.55,83.34
48.89,87.35
48.69,90.58
42.71,84.72
