sst,u10,hsig,time,latitude,longitude
301.7009,3.659115,1.1002525,1940-01-01 12:00:00,-5.1,65.0
301.7344,2.8409002,1.0513356,1940-01-02 12:00:00,-5.1,65.0
301.7705,2.7771528,1.050579,1940-01-03 12:00:00,-5.1,65.0
301.80347,2.2784243,1.0511194,1940-01-04 12:00:00,-5.1,65.0
301.83524,2.8476498,1.1473316,1940-01-05 12:00:00,-5.1,65.0
301.866,4.5530767,1.4004563,1940-01-06 12:00:00,-5.1,65.0
301.8938,0.40162972,1.4819664,1940-01-07 12:00:00,-5.1,65.0
301.92065,1.8355682,1.4761288,1940-01-08 12:00:00,-5.1,65.0
301.9431,0.5924965,1.3891054,1940-01-09 12:00:00,-5.1,65.0
301.96338,0.5493734,1.2977037,1940-01-10 12:00:00,-5.1,65.0
301.9802,1.4827083,1.1951675,1940-01-11 12:00:00,-5.1,65.0
301.99268,1.001229,1.10182,1940-01-12 12:00:00,-5.1,65.0
302.001,1.9030652,1.2263013,1940-01-13 12:00:00,-5.1,65.0
302.00513,-1.5381621,1.3065143,1940-01-14 12:00:00,-5.1,65.0
302.00415,-3.864562,1.4736965,1940-01-15 12:00:00,-5.1,65.0
301.9983,-0.14359689,1.4509406,1940-01-16 12:00:00,-5.1,65.0
301.98975,-0.8523165,1.4842906,1940-01-17 12:00:00,-5.1,65.0
301.97757,1.7271978,1.3797544,1940-01-18 12:00:00,-5.1,65.0
301.9624,1.1860961,1.2288958,1940-01-19 12:00:00,-5.1,65.0
301.94604,4.032974,1.3106762,1940-01-20 12:00:00,-5.1,65.0
301.92676,5.298545,1.7061733,1940-01-21 12:00:00,-5.1,65.0
301.90677,2.422418,1.8915169,1940-01-22 12:00:00,-5.1,65.0
301.885,4.620574,1.8929223,1940-01-23 12:00:00,-5.1,65.0
301.86136,5.5070357,1.8065475,1940-01-24 12:00:00,-5.1,65.0
301.83817,3.472748,1.6546619,1940-01-25 12:00:00,-5.1,65.0
301.813,1.3469641,1.497101,1940-01-26 12:00:00,-5.1,65.0
301.78732,-1.8107754,1.423158,1940-01-27 12:00:00,-5.1,65.0
301.76224,-1.2809231,1.3979158,1940-01-28 12:00:00,-5.1,65.0
301.7371,-0.6633246,1.0980904,1940-01-29 12:00:00,-5.1,65.0
301.71216,-1.2168008,1.0315527,1940-01-30 12:00:00,-5.1,65.0
301.688,-0.49345687,1.1118736,1940-01-31 12:00:00,-5.1,65.0
301.66458,-0.48183236,1.1113331,1940-02-01 12:00:00,-5.1,65.0
301.64212,-2.6574888,1.1325214,1940-02-02 12:00:00,-5.1,65.0
301.6216,0.59137154,1.073605,1940-02-03 12:00:00,-5.1,65.0
301.6018,2.4490418,1.1579798,1940-02-04 12:00:00,-5.1,65.0
301.58475,3.2462578,1.0859288,1940-02-05 12:00:00,-5.1,65.0
301.57034,5.3469176,1.0366335,1940-02-06 12:00:00,-5.1,65.0
301.55692,4.1338444,0.96728504,1940-02-07 12:00:00,-5.1,65.0
301.5464,3.89423,1.1875461,1940-02-08 12:00:00,-5.1,65.0
301.53955,4.0520983,1.2525165,1940-02-09 12:00:00,-5.1,65.0
301.53513,4.8864374,1.5048304,1940-02-10 12:00:00,-5.1,65.0
