sst,u10,hsig,time,latitude,longitude
292.86615,10.3286705,4.1536703,1940-01-01 12:00:00,35.9,-41.1
292.799,7.8753996,3.8535314,1940-01-02 12:00:00,35.9,-41.1
292.73737,11.206657,3.5183675,1940-01-03 12:00:00,35.9,-41.1
292.67316,11.615847,4.042061,1940-01-04 12:00:00,35.9,-41.1
292.6104,15.1079235,5.2253566,1940-01-05 12:00:00,35.9,-41.1
292.5495,10.242983,5.300936,1940-01-06 12:00:00,35.9,-41.1
292.4917,13.389828,5.423606,1940-01-07 12:00:00,35.9,-41.1
292.435,14.255396,5.4815893,1940-01-08 12:00:00,35.9,-41.1
292.3818,10.15357,5.4231033,1940-01-09 12:00:00,35.9,-41.1
292.3308,9.255714,6.6355586,1940-01-10 12:00:00,35.9,-41.1
292.2833,-1.1814005,4.4437547,1940-01-11 12:00:00,35.9,-41.1
292.23907,6.20263,2.9782512,1940-01-12 12:00:00,35.9,-41.1
292.19778,4.136194,2.3717723,1940-01-13 12:00:00,35.9,-41.1
292.16165,3.6754684,2.3729453,1940-01-14 12:00:00,35.9,-41.1
292.12863,2.9036596,3.3201182,1940-01-15 12:00:00,35.9,-41.1
292.09946,4.53669,3.5616038,1940-01-16 12:00:00,35.9,-41.1
292.07065,3.4593868,1.9955509,1940-01-17 12:00:00,35.9,-41.1
292.0422,4.4429307,2.30055,1940-01-18 12:00:00,35.9,-41.1
292.01358,5.4798737,2.4453409,1940-01-19 12:00:00,35.9,-41.1
291.98535,-1.5049019,2.42322,1940-01-20 12:00:00,35.9,-41.1
291.9571,2.4224434,2.575887,1940-01-21 12:00:00,35.9,-41.1
291.92938,7.859876,2.7278838,1940-01-22 12:00:00,35.9,-41.1
291.90186,8.865774,2.32133,1940-01-23 12:00:00,35.9,-41.1
291.8745,13.033417,5.1408954,1940-01-24 12:00:00,35.9,-41.1
291.84775,4.78506,4.276173,1940-01-25 12:00:00,35.9,-41.1
291.82242,15.455641,7.343089,1940-01-26 12:00:00,35.9,-41.1
291.79654,2.803691,4.1669097,1940-01-27 12:00:00,35.9,-41.1
291.77142,2.368423,3.0000367,1940-01-28 12:00:00,35.9,-41.1
291.747,11.245775,3.228786,1940-01-29 12:00:00,35.9,-41.1
291.72372,13.651857,4.5513425,1940-01-30 12:00:00,35.9,-41.1
291.70096,11.079369,4.7933307,1940-01-31 12:00:00,35.9,-41.1
291.6795,13.641302,5.724583,1940-02-01 12:00:00,35.9,-41.1
291.65823,15.227762,6.374801,1940-02-02 12:00:00,35.9,-41.1
291.63895,11.440746,4.767188,1940-02-03 12:00:00,35.9,-41.1
291.6197,13.137732,5.428801,1940-02-04 12:00:00,35.9,-41.1
291.60226,15.028446,6.672594,1940-02-05 12:00:00,35.9,-41.1
291.58575,12.946487,4.687251,1940-02-06 12:00:00,35.9,-41.1
291.57034,8.786917,3.8307402,1940-02-07 12:00:00,35.9,-41.1
291.55695,7.21722,3.439269,1940-02-08 12:00:00,35.9,-41.1
291.54446,12.544128,4.7283087,1940-02-09 12:00:00,35.9,-41.1
291.53348,11.935623,4.136577,1940-02-10 12:00:00,35.9,-41.1
291.52393,6.080929,4.776405,1940-02-11 12:00:00,35.9,-41.1
291.5153,5.0750313,3.802419,1940-02-12 12:00:00,35.9,-41.1
291.5085,12.30942,3.7967212,1940-02-13 12:00:00,35.9,-41.1
291.50467,9.634478,4.099877,1940-02-14 12:00:00,35.9,-41.1
291.50156,5.6332426,2.7298949,1940-02-15 12:00:00,35.9,-41.1
291.49603,5.743767,3.839622,1940-02-16 12:00:00,35.9,-41.1
291.48578,12.698738,6.784706,1940-02-17 12:00:00,35.9,-41.1
291.47238,9.372448,4.741045,1940-02-18 12:00:00,35.9,-41.1
291.45383,11.853661,4.9007506,1940-02-19 12:00:00,35.9,-41.1
291.4311,12.174057,6.8736925,1940-02-20 12:00:00,35.9,-41.1
291.4052,5.218465,4.399681,1940-02-21 12:00:00,35.9,-41.1
291.37717,2.1243997,3.0462894,1940-02-22 12:00:00,35.9,-41.1
291.34616,6.4342346,3.6443892,1940-02-23 12:00:00,35.9,-41.1
291.31293,13.778526,4.0370336,1940-02-24 12:00:00,35.9,-41.1
291.2768,9.976606,5.702462,1940-02-25 12:00:00,35.9,-41.1
291.24066,-0.6231897,4.3802414,1940-02-26 12:00:00,35.9,-41.1
291.2034,-4.7585444,3.4843485,1940-02-27 12:00:00,35.9,-41.1
291.166,11.740032,4.5694413,1940-02-28 12:00:00,35.9,-41.1
291.12894,-5.116197,3.8141496,1940-02-29 12:00:00,35.9,-41.1
291.0904,-5.297507,2.7637463,1940-03-01 12:00:00,35.9,-41.1
291.0528,-3.435976,2.303734,1940-03-02 12:00:00,35.9,-41.1
291.0159,-10.149408,3.30822,1940-03-03 12:00:00,35.9,-41.1
290.9805,11.763626,4.755792,1940-03-04 12:00:00,35.9,-41.1
290.94675,8.929108,5.0611267,1940-03-05 12:00:00,35.9,-41.1
290.9163,9.712714,3.0042264,1940-03-06 12:00:00,35.9,-41.1
290.88748,8.065402,2.383168,1940-03-07 12:00:00,35.9,-41.1
290.86163,7.042119,1.8246174,1940-03-08 12:00:00,35.9,-41.1
290.83905,9.785362,2.1599488,1940-03-09 12:00:00,35.9,-41.1
290.82108,-1.2844739,1.7609363,1940-03-10 12:00:00,35.9,-41.1
290.80658,2.049268,1.5874891,1940-03-11 12:00:00,35.9,-41.1
290.7963,12.308178,3.193594,1940-03-12 12:00:00,35.9,-41.1
290.79227,10.344194,3.6361778,1940-03-13 12:00:00,35.9,-41.1
290.79227,10.830378,4.1677475,1940-03-14 12:00:00,35.9,-41.1
290.7989,8.663973,3.8771605,1940-03-15 12:00:00,35.9,-41.1
290.81152,7.879125,3.9976518,1940-03-16 12:00:00,35.9,-41.1
290.83008,3.5537672,2.977916,1940-03-17 12:00:00,35.9,-41.1
290.84714,3.761777,2.664538,1940-03-18 12:00:00,35.9,-41.1
290.86163,7.507191,3.7863312,1940-03-19 12:00:00,35.9,-41.1
290.87482,7.8654647,4.047759,1940-03-20 12:00:00,35.9,-41.1
290.88693,6.4199533,3.0415971,1940-03-21 12:00:00,35.9,-41.1
290.89594,8.01697,2.647612,1940-03-22 12:00:00,35.9,-41.1
290.90454,-1.3856845,2.5282938,1940-03-23 12:00:00,35.9,-41.1
290.9117,5.9219723,2.0024219,1940-03-24 12:00:00,35.9,-41.1
290.91794,6.436097,2.2278194,1940-03-25 12:00:00,35.9,-41.1
290.92365,4.4044333,2.252454,1940-03-26 12:00:00,35.9,-41.1
290.92767,6.4603133,2.5492415,1940-03-27 12:00:00,35.9,-41.1
290.93207,-4.3425255,2.0149906,1940-03-28 12:00:00,35.9,-41.1
290.9348,1.8996253,1.7036233,1940-03-29 12:00:00,35.9,-41.1
290.93924,0.21381617,2.0106332,1940-03-30 12:00:00,35.9,-41.1
290.94272,1.3681141,1.8589716,1940-03-31 12:00:00,35.9,-41.1
