sst,u10,hsig,time,latitude,longitude
286.9707,0.61297774,4.136298,1940-01-01 12:00:00,34.9,-165.0
286.97836,2.574189,2.7596622,1940-01-02 12:00:00,34.9,-165.0
287.0163,2.6231503,1.8730869,1940-01-03 12:00:00,34.9,-165.0
287.0268,-1.8688784,1.7537475,1940-01-04 12:00:00,34.9,-165.0
287.03183,3.4127378,2.6928706,1940-01-05 12:00:00,34.9,-165.0
287.03348,0.48678184,2.765244,1940-01-06 12:00:00,34.9,-165.0
287.03015,-13.856127,3.3736818,1940-01-07 12:00:00,34.9,-165.0
287.0213,-12.385908,4.902379,1940-01-08 12:00:00,34.9,-165.0
287.0058,-9.612352,4.8024807,1940-01-09 12:00:00,34.9,-165.0
286.98288,-7.507705,3.1517494,1940-01-10 12:00:00,34.9,-165.0
286.95282,-8.873795,2.5487008,1940-01-11 12:00:00,34.9,-165.0
286.91486,-5.525806,2.399527,1940-01-12 12:00:00,34.9,-165.0
286.8676,10.413517,3.2487605,1940-01-13 12:00:00,34.9,-165.0
286.81033,8.85572,4.3324385,1940-01-14 12:00:00,34.9,-165.0
286.7435,7.5089383,4.3149223,1940-01-15 12:00:00,34.9,-165.0
286.66687,3.7347791,2.9248123,1940-01-16 12:00:00,34.9,-165.0
286.596,7.7847767,3.0093122,1940-01-17 12:00:00,34.9,-165.0
286.53394,14.6779785,6.310005,1940-01-18 12:00:00,34.9,-165.0
286.48047,14.085615,6.7790856,1940-01-19 12:00:00,34.9,-165.0
286.43466,12.207846,4.7445436,1940-01-20 12:00:00,34.9,-165.0
286.39502,10.094923,4.8086405,1940-01-21 12:00:00,34.9,-165.0
286.36377,9.152935,4.0052176,1940-01-22 12:00:00,34.9,-165.0
286.33847,15.686857,5.2282524,1940-01-23 12:00:00,34.9,-165.0
286.31888,13.800123,4.7911243,1940-01-24 12:00:00,34.9,-165.0
286.30432,5.2043085,4.9146986,1940-01-25 12:00:00,34.9,-165.0
286.2948,17.772886,6.815465,1940-01-26 12:00:00,34.9,-165.0
286.2893,13.817364,6.53598,1940-01-27 12:00:00,34.9,-165.0
286.28763,13.388433,4.654654,1940-01-28 12:00:00,34.9,-165.0
286.28955,10.193536,4.473528,1940-01-29 12:00:00,34.9,-165.0
286.2943,7.906835,3.845842,1940-01-30 12:00:00,34.9,-165.0
286.30124,10.388691,4.151697,1940-01-31 12:00:00,34.9,-165.0
286.30957,9.728058,4.1466923,1940-02-01 12:00:00,34.9,-165.0
286.3196,9.457737,4.0508356,1940-02-02 12:00:00,34.9,-165.0
286.32986,10.216292,4.8184566,1940-02-03 12:00:00,34.9,-165.0
286.34036,10.816931,4.762252,1940-02-04 12:00:00,34.9,-165.0
286.3511,7.7006464,3.023363,1940-02-05 12:00:00,34.9,-165.0
