sst,u10,hsig,time,latitude,longitude
291.749,1.479218,2.0390365,1940-01-01 12:00:00,-35.0,-165.0
291.80466,0.6361107,1.5672934,1940-01-02 12:00:00,-35.0,-165.0
291.85544,3.8946588,1.2140565,1940-01-03 12:00:00,-35.0,-165.0
291.90817,3.9910696,2.4372334,1940-01-04 12:00:00,-35.0,-165.0
291.95996,2.7060263,2.6785405,1940-01-05 12:00:00,-35.0,-165.0
292.01074,-5.02429,2.328122,1940-01-06 12:00:00,-35.0,-165.0
292.06137,-8.06284,2.4208598,1940-01-07 12:00:00,-35.0,-165.0
292.1104,-2.4872036,1.9358301,1940-01-08 12:00:00,-35.0,-165.0
292.15732,1.8583899,1.5432701,1940-01-09 12:00:00,-35.0,-165.0
292.20306,3.6332502,1.5601804,1940-01-10 12:00:00,-35.0,-165.0
292.24704,-1.6233908,1.4775081,1940-01-11 12:00:00,-35.0,-165.0
292.29004,-6.297686,1.4239588,1940-01-12 12:00:00,-35.0,-165.0
292.3317,-6.831503,1.6370819,1940-01-13 12:00:00,-35.0,-165.0
292.36966,-3.4616623,1.6270163,1940-01-14 12:00:00,-35.0,-165.0
292.40604,-3.8576574,1.5862169,1940-01-15 12:00:00,-35.0,-165.0
292.44186,-1.7709184,1.5192468,1940-01-16 12:00:00,-35.0,-165.0
292.47827,2.4899116,1.8536944,1940-01-17 12:00:00,-35.0,-165.0
292.51874,-2.1927955,2.1014435,1940-01-18 12:00:00,-35.0,-165.0
292.56155,-0.45934635,1.8146398,1940-01-19 12:00:00,-35.0,-165.0
292.6077,3.911482,1.5953431,1940-01-20 12:00:00,-35.0,-165.0
292.65497,-4.9725256,1.6989522,1940-01-21 12:00:00,-35.0,-165.0
292.70462,-0.4321702,2.0477602,1940-01-22 12:00:00,-35.0,-165.0
292.7556,0.88846064,1.613327,1940-01-23 12:00:00,-35.0,-165.0
292.80795,1.8486841,1.4134905,1940-01-24 12:00:00,-35.0,-165.0
292.86108,-1.3975701,1.4969683,1940-01-25 12:00:00,-35.0,-165.0
292.9148,-2.6159668,1.9214699,1940-01-26 12:00:00,-35.0,-165.0
292.9693,-4.747999,1.7804167,1940-01-27 12:00:00,-35.0,-165.0
293.023,-2.5253797,1.5695751,1940-01-28 12:00:00,-35.0,-165.0
293.07712,1.3860427,1.4414058,1940-01-29 12:00:00,-35.0,-165.0
293.13065,-2.1759722,2.4591093,1940-01-30 12:00:00,-35.0,-165.0
293.1828,-5.7166343,2.0662808,1940-01-31 12:00:00,-35.0,-165.0
293.2342,1.9994469,1.6297004,1940-02-01 12:00:00,-35.0,-165.0
293.2846,3.6326032,1.4638188,1940-02-02 12:00:00,-35.0,-165.0
293.3321,5.523933,1.276732,1940-02-03 12:00:00,-35.0,-165.0
293.37823,3.7348373,1.4630134,1940-02-04 12:00:00,-35.0,-165.0
293.4224,6.999209,1.8194714,1940-02-05 12:00:00,-35.0,-165.0
293.46307,3.4430172,1.658421,1940-02-06 12:00:00,-35.0,-165.0
293.5018,1.5471584,1.4502637,1940-02-07 12:00:00,-35.0,-165.0
293.53647,-0.54475707,1.370141,1940-02-08 12:00:00,-35.0,-165.0
293.5672,-5.7683983,1.7918243,1940-02-09 12:00:00,-35.0,-165.0
293.59464,-7.605376,1.8755705,1940-02-10 12:00:00,-35.0,-165.0
293.6184,-4.933703,1.8832204,1940-02-11 12:00:00,-35.0,-165.0
293.63766,0.3404085,1.7647142,1940-02-12 12:00:00,-35.0,-165.0
293.65207,1.0068709,1.9245567,1940-02-13 12:00:00,-35.0,-165.0
293.66043,3.5006049,1.9116726,1940-02-14 12:00:00,-35.0,-165.0
293.66434,6.016339,1.9264357,1940-02-15 12:00:00,-35.0,-165.0
293.66336,4.066128,2.0486996,1940-02-16 12:00:00,-35.0,-165.0
293.66043,4.6581793,2.3600636,1940-02-17 12:00:00,-35.0,-165.0
293.65305,2.8923771,2.0281656,1940-02-18 12:00:00,-35.0,-165.0
293.64313,-1.6835666,1.8437631,1940-02-19 12:00:00,-35.0,-165.0
293.63007,-1.3005124,1.6137297,1940-02-20 12:00:00,-35.0,-165.0
293.61432,-1.9171519,2.0300446,1940-02-21 12:00:00,-35.0,-165.0
293.596,2.3404427,2.3510714,1940-02-22 12:00:00,-35.0,-165.0
293.57578,-1.1193382,1.8292687,1940-02-23 12:00:00,-35.0,-165.0
293.55417,-0.1409973,1.4972367,1940-02-24 12:00:00,-35.0,-165.0
293.53082,10.380697,2.7837598,1940-02-25 12:00:00,-35.0,-165.0
293.50473,6.1412196,2.968565,1940-02-26 12:00:00,-35.0,-165.0
293.47845,0.32617342,4.31669,1940-02-27 12:00:00,-35.0,-165.0
293.45062,-0.012881242,3.169341,1940-02-28 12:00:00,-35.0,-165.0
293.43195,-0.7414605,2.2796726,1940-02-29 12:00:00,-35.0,-165.0
293.40372,6.7293887,2.1897528,1940-03-01 12:00:00,-35.0,-165.0
293.3745,4.029246,2.1205013,1940-03-02 12:00:00,-35.0,-165.0
293.34512,1.0799876,2.2850409,1940-03-03 12:00:00,-35.0,-165.0
293.31595,1.6222162,2.3883815,1940-03-04 12:00:00,-35.0,-165.0
293.28754,7.724553,3.2495978,1940-03-05 12:00:00,-35.0,-165.0
293.25833,0.7603445,2.2545755,1940-03-06 12:00:00,-35.0,-165.0
293.2309,1.5743345,2.2791357,1940-03-07 12:00:00,-35.0,-165.0
293.20267,-0.76734257,2.2530992,1940-03-08 12:00:00,-35.0,-165.0
293.1762,2.2776787,2.2983274,1940-03-09 12:00:00,-35.0,-165.0
293.15186,7.1176195,3.3980324,1940-03-10 12:00:00,-35.0,-165.0
293.1281,2.6329098,2.6343858,1940-03-11 12:00:00,-35.0,-165.0
293.1069,8.2027235,2.3596609,1940-03-12 12:00:00,-35.0,-165.0
293.0865,-1.2248075,2.4558883,1940-03-13 12:00:00,-35.0,-165.0
293.06876,-6.4930954,2.2333705,1940-03-14 12:00:00,-35.0,-165.0
293.05417,-1.6162733,1.8770468,1940-03-15 12:00:00,-35.0,-165.0
293.0415,-4.60306,2.063731,1940-03-16 12:00:00,-35.0,-165.0
293.03082,-6.858679,2.0956726,1940-03-17 12:00:00,-35.0,-165.0
293.01523,-4.6457653,2.5262136,1940-03-18 12:00:00,-35.0,-165.0
292.9954,-3.5638964,2.7744994,1940-03-19 12:00:00,-35.0,-165.0
292.97028,-3.1937833,2.572784,1940-03-20 12:00:00,-35.0,-165.0
292.9399,-6.2278047,2.6920955,1940-03-21 12:00:00,-35.0,-165.0
292.907,-6.34945,3.1388757,1940-03-22 12:00:00,-35.0,-165.0
292.8679,2.648439,1.9862926,1940-03-23 12:00:00,-35.0,-165.0
292.82684,7.479321,2.2267942,1940-03-24 12:00:00,-35.0,-165.0
292.78305,9.961408,3.6235027,1940-03-25 12:00:00,-35.0,-165.0
292.73477,5.3531117,4.0506887,1940-03-26 12:00:00,-35.0,-165.0
292.68417,0.8011087,3.3956165,1940-03-27 12:00:00,-35.0,-165.0
292.63065,-4.8178806,2.6857877,1940-03-28 12:00:00,-35.0,-165.0
292.574,-6.7156806,2.3929446,1940-03-29 12:00:00,-35.0,-165.0
292.51642,-6.069924,2.3226192,1940-03-30 12:00:00,-35.0,-165.0
292.45685,-1.8032709,1.863626,1940-03-31 12:00:00,-35.0,-165.0
